,company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue
0,"Infosys Limited
3.9",Data Science,Bangalore,"Responsibilities
• Anchor ML development track in a client project • Data collection, profiling, EDA & data preparation • AI Model development, experimentation, tuning & validation • Present findings to business users & project management teams • Propose ML based solution approaches & estimates for new use cases • Contribute to AI based modules in Infosys solutions development • Explore new advances in AI continuously and execute PoCs • Mentoring – guide junior team members & evangelize AI in organization
Technical and Professional Requirements:
• Programming: Python, R, SQL • ML algorithms: o Statistical ML algorithms
Preferred Skills:
Bigdata->Pyspark,Artificial Intelligence->NLP Deep Learning Algorithms,Machine Learning->Data Science,Artificial Intelligence->Python ML,Python
Educational Requirements
Bachelor of Engineering",?3L - ?8L (Glassdoor Est.),10000+ Employees,Company - Public,Information Technology,Information Technology Support Services,1981,$10+ billion (USD)
1,"Meril Life Sciences
3.7",SCM coordinator & MIS preparation,Vapi,"SCM coordinator & MIS preparation and Export secondary data collection / distributor inventory monitoring
Candidate should be a MBA having knowledge of SAP and supply chain.
Job Types: Full-time, Regular / Permanent
Salary: Up to ?300,000.00 per year
Schedule:
Day shift
Supplemental pay types:
Yearly bonus
Ability to commute/relocate:
Vapi, Gujarat: Reliably commute or planning to relocate before starting work (Required)
Experience:
total work: 1 year (Required)
Application Deadline: 06/11/2022",?3L (Employer Est.),5001 to 10000 Employees,Company - Private,Manufacturing,Health Care Products Manufacturing,2006,Unknown / Non-Applicable
2,"Globussoft Technologies
4.4",Data Science,Bangalore,"Job Description: DATA SCIENTIST

Selecting features, building and optimizing classifiers using machine learning techniques

Data mining using state-of-the-art methods

Extending company’s data with third party sources of information when needed

Processing, cleansing, and verifying the integrity of data used for analysis

Develop custom data models and algorithms to apply to data sets.

Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes.




Requirements
Machine Learning, Python, NLP, Deep Learning, Data Scraping, Knowledge of SQL and NoSQL is a plus point.",?4L (Employer Est.),201 to 500 Employees,Company - Private,Information Technology,Computer Hardware Development,2009,$5 to $25 million (USD)
3,"Maersk
4.2",Data Scientist,Bangalore,"The Data Scientists turns data into actionable insights using tools and models from statistics, AI and Machine Learning to enable better decision making. They collaborate with stakeholders to translate a business problem to a mathematical problem that can be solved using data and analytics. They gather, analyse, combine and aggregate the data sources required to solve the problem, then develop the appropriate solution and communicate its possibilities and limitations. They are responsible for the quality of the solution, for example prediction accuracy. Understands the different aspects of the end-to-end model life cycle (problem formulation, exploration, development, testing, deployement and monitoring). Has a solid data science skillset and the experience needed to drive the implementation of a solution at any stage of the product life cycle.",?8L - ?8L (Glassdoor Est.),10000+ Employees,Subsidiary or Business Segment,Transportation & Logistics,Marine Transportation,1928,$10+ billion (USD)
4,"Thermo Fisher Scientific
3.8",Intern 1 - Data Science,Bangalore,"ThermoFisherScientific's is building Data Science team. Looking out for Interns from reputed colleges with below mentioned skills

BTECH in Core Engineering,
Basic understanding OOPS,
Basic exposure to Data Science and Data Analytics using Python,
Basic understanding of data processing, cleansing and Operations,
Basic exposure to various data sources like CSV, XLS, JSON, NoSql, etc.
Basic expereincexpereince with Data Aggregation, Wrangling, etc.",#N/A,10000+ Employees,Company - Public,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,1902,$10+ billion (USD)
5,"Novartis
4.0",Associate Clinical Label Manager,Hyderābād,"2025! This is the year that Global Clinical supply is targeting for completing the evolution our systems into a “digital enabled” landscape of 300+ associates. Join a team of globally collaborative colleagues at the ‘Global Clinical Supply (GCS)’ function to support clinical trials from Phase 1 to approval and be a key interface between Technical Research & Development (TRD) teams and the Clinical teams! At GCS, we aspire to become a data and digital powered, resourceful , agile organization to deliver more products to more patients efficiently, through empowered and highly capable teams.

Your responsibilities include, but are not limited to:

Is responsible for generation/coordination of labels for IMP, medication list/randomization list/randomization schedules and ensures agreed milestones, quality and costs are met. Is accountable for label compliance with respect to study design, pack design, pack material, analytical specifications of the IMP along with country specific Regulatory Authority (RA) requirements and Novartis standards of compliance.
Maintains Phrase Library (validated repository of country specific HA regulatory requirement and translations of phrases in country specific languages), if nominated.
If nominated manages business administration activities of Labelling system and Randomization Re-porting Tool (RRT) and participate in system enhancement initiatives as appropriate. If required and qualified performs and documents GMP line unit checks of label(s) as defined in SOP. When required leads investigations if certified in case of quality events/deviations or any non-Right First Time (RFT) cases and notifies the Team Head or Deputy.
Keeps clear alignment with all the internal (e.g., Clinical Trial Supply Managers, Supply Chain Managers etc.) and external (e.g., external label service providers for specialized labels) stakeholders for IMP label related activities. Act as subject matter expert on label process during internal/external inspections as required.
Is responsible for communicating challenges to internal and external stakeholders and bring solutions to mitigate any risk(s). Support the Business owner by coordinating the vendor management and vendor performance when required. Manages all applicable finance activities, including grants, purchase orders (PO) and invoice approval for IMP labels, as applicable.
Is able to describe the fundamental process and answer question regarding label process during internal/external inspections. Support SME's / SPOC / SU / BPM (Business Process Manager) to define processes, identify and support initiatives for process improvement and simplification when required.
Actively participates in projects, networks and/or forums. Fulfill all related tasks and responsibilities related to own discipline. Be a mentor for the new CLM associates. Ensures colleagues know and use the appropriate processes and procedures and are aware of the risks of non-compliance as re-quired.
Ensures execution according to quality, quantity, and timelines of all assigned activities. Adheres to and utilizes existing processes and procedures to achieve agreed outcomes in a consistent and disciplined way. Completely adheres to Novartis values and behaviors.

Commitment to Diversity & Inclusion:
Novartis is committed to building an outstanding, inclusive work environment and diverse teams representative of the patients and communities we serve.
Minimum requirements
3 years of practical experience in chemical / pharmaceutical industry or > 2years of experience in field of expertise
Apprenticeship or formal education in a logistical, technical, or related business area
Basic knowledge of drug development and clinical supply process. Basic project management, good organization, and planning skills
Good knowledge of HSE/GMP standards and processes. Problem-solving and idea generation skills
Good presentation skills
Fundamental Leadership skills.
Good communication, negotiation, and interpersonal skills. Ability to work in interdisciplinary teams

Why Novartis?

766 million lives were touched by Novartis medicines in 2021, and while we’re proud of this, we know there is so much more we could do to help improve and extend people’s lives.
We believe new insights, perspectives and ground-breaking solutions can be found at the intersection of medical science and digital innovation. That a diverse, equitable and inclusive environment inspires new ways of working.
We believe our potential can thrive and grow in an unbossed culture underpinned by integrity, curiosity and flexibility. And we can reinvent what's possible, when we collaborate with courage to aggressively and ambitiously tackle the world’s toughest medical challenges. Because the greatest risk in life, is the risk of never trying!
Imagine what you could do here at Novartis!
Join our Novartis Network: If this role is not suitable to your experience or career goals but you wish to stay connected to hear more about Novartis and our career opportunities, join the Novartis Network here: https://talentnetwork.novartis.com/network
Division
Global Drug Development
Business Unit
TECHNICAL R & D GDD
Country
India
Work Location
Hyderabad, AP
Company/Legal Entity
Nov Hltcr Shared Services Ind
Functional Area
Research & Development
Job Type
Full Time
Employment Type
Regular
Shift Work
No
Early Talent
No",?6L - ?10L (Glassdoor Est.),Unknown,Company - Public,#N/A,#N/A,#N/A,Unknown / Non-Applicable
6,"Aptiv
4.1",RADAR System Engineer,Bangalore,"Radar Systems Engineer
Help shape the future of mobility.
Imagine a world with zero vehicle accidents, zero vehicle emissions, and wireless vehicle connectivity all around us. Every day, we move closer to making that world a reality. Aptiv’s passionate team of engineers and developers creates advanced safety systems, high-performance electrification solutions and data connectivity solutions so that automakers can bring advanced capabilities to more people around the globe. This is how we enable sustainable mobility and help to prevent accidents caused by human error.
Want to join us?
Your Role
As a Radar Systems Engineer on our team, you’ll be responsible for Radar Core Systems Development and Analyzing the field Data for Advanced Safety Products. In your daily job you will:
Own Radar Processing algorithm development for ADAS products;
Be responsible for Systems Requirement creation and Algorithms Development (Matlab) using SDLC Model per ASPICE;
Collaborate with cross functional teams for day-to-day activities;
Have the chance to demonstrate your debugging skills and issue resolution with ownership;
Your Background
Key ingredients for succeeding in this role are your:
Master’s degree in computer science, electronics, automatics or related;
Experience with Radar Signal processing Algorithms development;
Working knowledge of Radar Systems development tools;
Experience in Radar testing;
Knowledge of Automotive Product Development Process (ASpice);
Hands on experience with waveform generator, Radar Target Simulator and Frequency Analyzer;
Courage to pursue new ideas with the aim of achieving both your professional aspirations and Aptiv's mission is inspiring
Why join us?
You can grow at Aptiv. Whether you are working towards a promotion, stepping into leadership, considering a lateral career move, or simply expanding your network – you can do it here. Aptiv provides an inclusive work environment where all individuals can grow and develop, regardless of gender, ethnicity or beliefs.
You can have an impact. Safety is a core Aptiv value; we want a safer world for us and our children, one with: Zero fatalities, Zero injuries, Zero accidents.
You have support. Our team is our most valuable asset. We ensure you have the resources and support you need to take care of your family and your physical and mental health with a competitive health insurance package.
Your Benefits at Aptiv:
Hybrid and flexible working hours;
Higher Education Opportunities (UDACITY, UDEMY, COURSERA are available for your continuous growth and development);
Life and accident insurance;
Sodexo cards for food and beverages
Well Being Program that includes regular workshops and networking events;
EAP Employee Assistance;
Access to fitness clubs (T&C apply);
Creche facility for working parents;
Apply today, and together let’s change tomorrow!
#INDIN
Privacy Notice - Active Candidates: https://www.aptiv.com/privacy-notice-active-candidates
Aptiv is an equal employment opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, sex, gender identity, sexual orientation, disability status, protected veteran status or any other characteristic protected by law.",?5L - ?5L (Glassdoor Est.),10000+ Employees,Company - Public,Manufacturing,Electronics Manufacturing,2017,$10+ billion (USD)
7,"Lincode Labs
3.1",Data Science Intern,Bangalore,"Must have:
Very Good understanding of Computer Vision and Deep/Machine Learning with projects to back the same
Experience in any Deep learning Frameworks - Pytorch, Tensorflow.
Basic Image processing techniques.
Knowledge of basics: Linear Algebra, Probability and Statistics.
Strong programming experience in Python.
Good understanding of Algorithms and Data Structures.
Comfortable in working with Linux and software development with Git
Good written and verbal communication.
Bachelor’s degree in Computer Science or equivalent.
Problem Solver Capability.
Good level of Aptitude.
Good To have:
Optics basics
Basic knowledge on Automobile , Electrical, Electronics.
Experience in Django , FastAPI, Docker.
Job Type: Internship
Contract length: 6 months
Salary: ?5,000.00 - ?20,000.00 per month
Benefits:
Flexible schedule
Food provided
Schedule:
Day shift
Flexible shift
Monday to Friday
Ability to commute/relocate:
Bangalore, Karnataka: Reliably commute or planning to relocate before starting work (Required)
Experience:
Python: 1 year (Preferred)
OpenCV: 1 year (Preferred)
Willingness to travel:
50% (Preferred)
Speak with the employer
+91 9487953281",?5T - ?20T (Employer Est.),1 to 50 Employees,Company - Private,Information Technology,Enterprise Software & Network Solutions,2017,Less than $1 million (USD)
8,Intech Online Pvt Ltd,Solution Architect,Thāne,"Job Title: Solution Architect
Job Summary:
We are looking for a skilled Solution Architect to join our team. The successful candidate will be responsible for designing and implementing complex systems and software solutions based on the requirements created by the Business Analyst. The Solution Architect will work closely with the Business Analyst, Project Manager, and development teams to ensure that the solutions are properly executed and meet business needs.
Key Responsibilities:
· Design and implement complex systems and software solutions based on requirements created by the Business Analyst
· Develop architecture and design documents, technical specifications, and high-level designs
· Work with the development team to ensure that the solutions are properly executed
· Ensure that the solutions meet business needs and requirements
· Identify and mitigate risks associated with the solutions
· Work with the Project Manager to ensure that the solutions are delivered on time and within budget
· Provide technical guidance and mentorship to the development team
· Evaluate and recommend new technologies, tools, and frameworks that can improve the efficiency and effectiveness of the solutions
Requirements:
· Bachelor’s degree in computer science, Information Technology, or a related field
· Minimum of 5 years of experience in software development and architecture
· Proven experience in designing and implementing complex systems and software solutions
· Strong knowledge of software development methodologies, including Agile and Waterfall
· Strong analytical and problem-solving skills
· Excellent communication and interpersonal skills
· Ability to work independently and as part of a team
· Ability to provide technical guidance and mentorship to the development team
· Experience in Enterprise Level architecture
· Experience in handling at least 4-5 projects End to End in the past
· Knowledge of multiple technologies i.e. performance and scalability of solutions
· Experience in backend technologies i.e. Database, API, etc.
· Understanding/knowledge of IT architectures, infrastructure, database/SQL
· Experience in API and Linux
· Good to have knowledge of MF SM, TeMIP, and NNMi
· Knowledge of Telecom Network Management implementations (NOC Management): Fault Management/Performance Management/Service quality management/Inventory Management
· Strong understanding of telco data such as alarms, inventory, topology, performance metric, etc. and resolve data related concerns from the development team
· Working with technology/service supplier service models
· Process mapping
· Stakeholder engagement
· Automation/technical certifications
If you are a results-driven individual with a strong background in software development and architecture, along with the technical experience mentioned above, we encourage you to apply for this exciting opportunity.
Job Type: Full-time
Salary: ?800,000.00 - ?1,800,000.00 per year
Schedule:
Day shift
Ability to commute/relocate:
Thane, Maharashtra: Reliably commute or planning to relocate before starting work (Preferred)
Experience:
Software development: 4 years (Required)
Solution architecture: 3 years (Required)
Speak with the employer
+91 7208993657",?8L - ?18L (Employer Est.),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9,"Aptiv
4.1",Embedded Software Developer – Core Radar,Bangalore,"Embedded Software Developer – Core Radar
Help shape the future of mobility.
Imagine a world with zero vehicle accidents, zero vehicle emissions, and wireless vehicle connectivity all around us. Every day, we move closer to making that world a reality. Aptiv’s passionate team of engineers and developers creates advanced safety systems, high-performance electrification solutions and data connectivity solutions so that automakers can bring advanced capabilities to more people around the globe. This is how we enable sustainable mobility and help to prevent accidents caused by human error.
Want to join us?
Your Role
As an Embedded Software Engineer on our team, you’ll work with software that rewrites the rules of what’s possible in the pursuit of making transportation safer, greener and more connected. In your daily job you will:
Develop embedded software for ADAS products using the ASPICE SDLC model;
Have the chance to demonstrate your debugging skills and issue resolution with ownership;
Cooperate closely with Test Engineers and Product Owners;
Communicate with customers and suppliers.
Your Background
Key ingredients for succeeding in this role are your:
Master’s degree in computer science, electronics, automatics or related;
Experience of 4-10 years in embedded systems software development using C on 16/32 bit microcontrollers;
Experience in Microcontroller architectures: Renesas RH family or Tricore or PowerPC architecture;
Knowledge of Digital Signal Processing concepts;
Knowledge of Communication Protocols (CAN, LIN, Flexray, Ethernet) and Diagnostics protocols (UDS/ISO 14229)
Knowledge of Automotive Product Development Process (ASpice)
Courage to pursue new ideas with the aim of achieving both your professional aspirations and Aptiv's mission is inspiring.
Why join us?
You can grow at Aptiv. Whether you are working towards a promotion, stepping into leadership, considering a lateral career move, or simply expanding your network – you can do it here. Aptiv provides an inclusive work environment where all individuals can grow and develop, regardless of gender, ethnicity or beliefs.
You can have an impact. Safety is a core Aptiv value; we want a safer world for us and our children, one with: Zero fatalities, Zero injuries, Zero accidents.
You have support. Our team is our most valuable asset. We ensure you have the resources and support you need to take care of your family and your physical and mental health with a competitive health insurance package.
Your Benefits at Aptiv:
Hybrid and flexible working hours;
Higher Education Opportunities (UDACITY, UDEMY, COURSERA are available for your continuous growth and development);
Life and accident insurance;
Sodexo cards for food and beverages
Well Being Program that includes regular workshops and networking events;
EAP Employee Assistance;
Access to fitness clubs (T&C apply);
Creche facility for working parents;
Apply today, and together let’s change tomorrow!
#INDIN
Privacy Notice - Active Candidates: https://www.aptiv.com/privacy-notice-active-candidates
Aptiv is an equal employment opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, sex, gender identity, sexual orientation, disability status, protected veteran status or any other characteristic protected by law.",?2L - ?4L (Glassdoor Est.),10000+ Employees,Company - Public,Manufacturing,Electronics Manufacturing,2017,$10+ billion (USD)
